State,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
AL,DECATUR,35603,2563504182,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/25/1979,98,94,100,99,86,84,96,100,97,96,100,74,66,81,72,69,97,66,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FULTONDALE,35068,2057837900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/01/1979,88,91,99,89,84,88,90,99,94,96,99,60,54,68,61,69,98,57,9,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FAIR HOPE,36532,2516214431,Religious Affiliations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/26/1981,97,96,95,99,69,71,99,99,100,99,100,67,60,74,76,69,87,54,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MOBILE,36609,2514503300,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/20/1981,93,82,100,97,68,64,83,99,93,82,99,68,60,75,77,70,89,62,6,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MONTGOMERY,36109,3343955100,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,10/01/1981,84,36,100,75,42,38,75,94,87,72,98,62,59,72,66,64,91,61,10,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HUNTSVILLE,35806,2569229919,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/05/1982,92,99,73,100,53,49,94,95,100,99,100,69,58,76,81,81,95,64,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,VESTAVIA HILLS,35216,2059793180,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/04/1982,89,70,100,97,80,68,94,99,96,93,98,48,49,58,56,62,,44,8,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GENEVA,36340,3346843919,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/08/1983,99,94,100,100,70,67,91,99,99,90,100,57,47,69,73,66,88,51,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HUNTSVILLE,35816,2565394457,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10/19/1983,77,98,100,100,87,77,100,100,100,100,99,60,43,58,68,57,99,57,13,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HOMEWOOD,35209,2058680147,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/01/1984,86,85,95,100,70,71,95,100,98,99,100,58,52,70,71,77,90,54,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FOLEY,36535,2519433002,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/20/1984,94,92,100,99,76,77,96,99,98,94,98,66,66,75,70,72,89,61,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,DOTHAN,36305,3347935758,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/20/1984,95,94,93,98,66,66,93,100,99,95,100,72,68,75,62,75,89,58,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,BIRMINGHAM,35235,2058360777,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/04/1984,94,90,100,99,73,82,98,99,99,98,100,63,58,69,70,67,80,52,11,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,PRATTVILLE,36066,3343619806,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/08/1984,96,92,100,100,88,82,74,100,99,84,100,70,72,80,75,81,93,68,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,PIKE ROAD,36064,3342701151,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/03/1984,87,97,100,96,75,68,72,99,91,79,100,69,60,75,80,75,92,64,11,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,DAPHNE,36526,2516210882,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/25/1984,92,90,100,99,52,59,83,99,98,88,96,62,55,80,73,68,82,57,9,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MOUNTAIN BROOK,35213,2058773403,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/05/1985,82,72,94,99,67,71,87,98,94,94,98,61,54,65,61,50,98,53,11,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MOBILE,36607,2514338172,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/24/1986,96,98,100,100,70,71,100,100,100,100,100,59,53,68,62,53,97,52,9,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MONTGOMERY,36117,3342707913,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/09/1986,90,60,99,96,56,51,84,98,92,81,95,67,60,67,79,81,96,53,11,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FOLEY,36535,2519711436,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/01/1986,95,88,94,99,58,57,99,100,100,100,100,69,62,77,77,75,93,64,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CITRONELLE,36522,2518663261,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/01/1986,99,93,82,99,80,79,98,90,100,98,99,66,57,72,61,62,93,63,8,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MOULTON,35650,2057397800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/21/1986,96,96,100,99,70,75,92,99,96,93,99,71,65,77,65,68,90,61,12,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GREENVILLE,36037,3343822042,Proprietary,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,02/05/1987,97,89,95,99,76,79,92,100,98,94,100,72,58,72,65,65,93,66,16,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,REFORM,35481,2053759255,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,06/12/1990,93,93,95,99,79,81,97,99,100,99,100,75,62,71,71,73,90,66,10,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,VERNON,35592,2056956736,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12/21/1990,75,99,100,100,100,100,100,99,100,100,100,45,62,62,66,53,,47,15,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,TUSCALOOSA,35401,2057597010,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/02/1991,72,97,100,100,80,84,100,99,100,100,99,70,60,71,76,72,100,61,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CENTREVILLE,35042,2059263211,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,11/07/1991,97,96,100,100,80,62,100,100,100,100,100,54,52,58,46,39,,56,4,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,SELMA,36701,3348726637,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/21/1991,96,92,98,100,85,86,96,97,96,82,95,73,71,76,93,93,94,63,9,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,SYLACAUGA,35150,2562080087,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,12/05/1991,91,73,100,100,46,46,88,100,92,67,99,68,66,70,72,66,86,61,11,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CAMDEN,36726,3346829050,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,01/09/1992,95,88,100,98,44,45,97,100,98,94,99,65,40,60,62,70,93,48,22,12,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AL,FAYETTE,35555,2059325961,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/18/1991,95,81,100,97,70,64,95,99,96,94,99,75,62,76,55,61,100,60,18,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CULLMAN,35058,2567372831,Other,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,06/11/1992,96,97,99,100,79,85,100,100,99,100,100,56,71,62,51,61,91,52,16,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GILBERTOWN,36908,2518432808,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,06/10/1992,98,97,100,99,83,80,98,100,99,91,100,55,55,62,63,68,98,51,16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GREENSBORO,36744,3346243066,State/County,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,06/18/1992,99,100,100,100,65,41,99,100,100,99,99,100,89,100,96,100,,96,16,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CARROLLTON,35447,2053678111,Other,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,07/01/1992,98,100,100,100,88,88,100,100,100,100,98,46,35,50,69,40,100,35,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FORT PAYNE,35968,2565242411,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/30/1992,99,98,100,100,98,100,99,100,100,100,100,90,83,94,89,81,95,83,16,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,CENTRE,35960,2569271144,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,08/13/1992,97,96,100,97,86,92,100,100,99,100,100,77,60,81,61,39,,50,11,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ATHENS,35611,2562339533,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/12/1992,93,74,100,98,87,74,90,100,93,88,99,80,68,84,76,75,92,71,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,TROY,36081,3346705257,Local,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,10/27/1992,98,99,98,100,70,70,99,100,100,100,100,63,61,70,60,68,91,58,18,21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ASHLAND,36251,2563540077,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,10/27/1992,92,73,100,97,69,68,89,100,93,85,99,79,77,79,76,71,,64,11,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HAMILTON,35570,2059216387,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/29/1992,96,96,100,96,63,65,98,100,97,91,99,68,65,73,65,49,,55,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,YORK,36925,2053925263,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/09/1992,76,100,100,99,34,31,99,99,100,100,93,44,27,35,33,31,,33,14,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
AL,EUTAW,35462,2053723399,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/17/1992,97,91,100,98,60,52,99,100,99,97,100,85,83,83,96,88,,69,15,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,DEMOPOLIS,36732,3342890701,Combination GOVT & Voluntary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,12/23/1992,87,98,100,100,51,33,99,99,100,100,97,51,47,61,61,77,100,52,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,SCOTTSBORO,35768,2562594840,Private,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,01/13/1993,99,99,100,100,70,78,100,100,100,100,98,61,53,66,56,58,90,43,10,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,EVERGREEN,36401,2515786800,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,01/12/1993,91,99,100,100,84,93,99,100,100,100,99,88,68,83,40,34,,74,15,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,CLANTON,35045,2052804663,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/24/1993,94,98,99,97,80,82,97,99,100,100,100,75,64,77,63,71,93,55,10,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HALEYVILLE,35565,2054857341,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,06/23/1993,99,88,99,100,58,71,94,100,93,94,100,49,28,51,44,38,100,28,9,21,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
AL,JACKSON,36545,2512470424,Proprietary,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,06/29/1993,100,99,100,99,85,79,100,100,100,99,100,68,58,61,73,71,,52,11,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ATTALLA,35954,2565382273,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/27/1993,99,99,99,100,96,95,97,100,100,99,100,67,59,73,64,69,97,47,8,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,WETUMPKA,36092,3345677710,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,07/26/1993,83,96,99,98,60,64,98,100,100,94,98,56,48,66,69,59,94,58,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,DADEVILLE,36853,2568257050,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,07/29/1993,91,94,99,99,63,73,85,99,95,83,99,74,56,76,71,61,85,58,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,MOULTON,35650,2569742200,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/17/1993,96,90,91,99,68,69,90,98,96,97,100,58,43,69,57,62,96,61,9,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HUNTSVILLE,35806,2569226650,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/20/1993,95,78,100,97,70,61,90,99,93,88,99,63,57,68,61,65,95,58,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ANDALUSIA,36420,3342222172,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,09/27/1993,93,95,100,100,86,87,92,100,100,95,99,63,57,67,58,66,94,60,13,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,VALLEY,36854,3347561950,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/21/1993,93,54,100,94,73,72,87,99,96,87,99,68,56,73,76,64,91,57,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,OZARK,36360,3347740750,Other,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/20/1993,98,96,100,100,76,78,82,100,87,85,99,74,77,70,87,78,,51,12,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,RED BAY,35582,2563568160,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/20/1994,93,81,100,95,75,67,93,99,95,89,98,67,57,65,61,61,100,59,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FOLEY,36535,2514241045,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/15/1994,96,99,100,97,78,87,99,99,100,96,100,69,65,81,71,70,98,58,10,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GUNTERSVILLE,35976,2568785811,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/03/1994,99,96,100,100,98,96,98,100,98,97,100,79,75,84,76,70,95,70,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,AUBURN,36830,3348263131,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/31/1994,89,70,99,97,51,50,84,99,95,87,99,67,60,70,74,72,98,58,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GROVE HILL,36451,2512753136,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/13/1994,98,82,100,98,79,73,93,99,98,89,100,76,63,80,81,72,91,62,13,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ONEONTA,35121,2052740720,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/15/1994,94,100,99,98,97,99,100,100,99,97,99,66,68,90,65,83,,76,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,OPP,36467,3344932087,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/14/1994,99,89,100,99,86,86,94,100,97,93,100,81,65,89,87,79,93,74,13,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,TALLASSEE,36078,3342836541,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/27/1994,94,99,100,100,73,75,96,100,100,100,100,53,52,56,61,67,98,46,9,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GEORGIANA,36033,3343762286,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,09/26/1994,90,85,100,100,81,87,97,100,100,93,95,69,43,77,75,63,,55,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,GREENVILLE,36037,3343832286,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/18/1994,99,99,100,100,93,95,99,100,100,99,100,58,44,62,46,28,92,47,15,17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,UNION SPRINGS,36089,3347384155,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12/12/1994,100,93,98,98,94,27,85,100,100,90,98,77,55,61,40,65,,57,14,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,LUVERNE,36049,3343353374,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12/28/1994,99,99,100,100,84,80,98,100,100,100,100,67,76,76,75,67,97,50,13,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ATMORE,36502,2513686286,Other,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,02/13/1995,89,95,100,100,51,56,100,100,100,100,100,61,59,62,44,42,,49,17,17,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,BREWTON,36426,2518675054,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/23/1995,94,82,99,97,84,79,93,99,95,84,98,71,60,79,63,44,99,68,16,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,PELL CITY,35128,2058847202,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/29/1995,98,98,100,99,80,85,93,100,98,96,100,61,56,71,72,53,92,48,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,RUSSELLVILLE,35653,2563310006,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,10/01/1998,99,89,100,100,65,50,99,100,100,100,100,73,69,61,38,44,,66,10,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AL,OPELIKA,36801,3347457966,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/18/1999,89,91,100,100,78,77,90,99,99,91,99,65,54,69,56,57,85,51,13,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,FAIRHOPE,36532,2516251520,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/13/2000,93,90,100,97,66,61,94,100,97,93,98,65,60,71,57,50,95,54,9,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,HOOVER,35242,2053132800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/12/2000,96,98,100,99,73,76,88,99,97,91,100,59,56,67,72,52,88,48,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ANNISTON,36207,2568357101,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/05/2000,94,85,100,98,82,89,72,100,89,86,100,70,61,75,76,70,87,62,11,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,SYLACAUGA,35150,2562494363,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/05/2000,95,99,100,100,84,80,99,100,100,99,99,66,71,76,80,75,89,69,14,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,ALABASTER,35007,2056850421,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/20/2002,91,96,99,99,85,88,97,99,97,96,99,57,49,63,58,53,77,43,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
