State,City,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD
TX,HOUSTON,Proprietary,1,1,1,1,1,1,73,100,100,100,94,95,100,100,100,100,100,0,1,1,FALSE
MN,DULUTH,Other,1,1,1,1,0,1,94,76,100,100,92,88,93,99,99,100,100,0,0,1,FALSE
IN,HAMMOND,Religious Affiliations,1,1,1,1,1,1,87,89,98,98,68,63,85,98,98,93,99,0,0,0,FALSE
TX,DESOTO,Proprietary,1,1,1,1,1,1,90,99,100,100,75,81,98,100,99,98,98,0,1,1,FALSE
OK,WHITEFIELD,Other,1,1,0,0,0,1,95,95,100,100,71,46,94,100,94,73,100,2,7,1,FALSE
IN,ANDERSON,Proprietary,1,1,1,1,0,1,91,95,100,100,71,73,94,100,100,100,100,2,1,1,FALSE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,91,96,100,97,64,67,95,99,100,97,97,0,1,1,FALSE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,91,89,99,99,31,19,82,100,95,95,95,1,1,1,FALSE
DE,GEORGETOWN,Other,1,1,1,1,0,1,92,91,100,99,82,81,95,98,98,96,94,0,1,1,FALSE
CA,VALLEY VILLAGE,Proprietary,1,1,1,1,1,1,98,100,100,95,78,77,100,100,100,100,100,0,1,1,FALSE
FL,PEMBROKE LAKES,Proprietary,1,1,1,1,1,1,88,65,100,100,39,39,97,99,98,94,100,0,1,1,FALSE
TX,LAREDO,Proprietary,1,1,0,0,1,0,85,100,93,97,64,41,100,100,100,100,97,0,1,1,TRUE
TX,DALLAS,Proprietary,1,0,0,0,0,1,83,96,100,100,65,64,98,100,100,98,100,0,1,1,FALSE
TX,LEAGUE CITY,Proprietary,1,1,1,1,1,1,84,90,99,85,76,79,79,99,96,86,97,0,0,0,TRUE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,91,100,96,96,35,35,83,72,100,100,77,0,1,1,FALSE
IL,TINLEY PARK,Proprietary,1,1,1,1,1,1,95,98,98,97,63,61,95,99,99,98,99,0,0,0,TRUE
AR,WALNUT RIDGE,State/County,1,1,0,0,0,1,85,89,99,100,83,91,98,100,100,96,99,0,1,1,TRUE
CO,LONGMONT,Proprietary,1,1,1,1,1,1,94,94,99,98,54,52,98,100,100,99,100,0,1,1,FALSE
MI,NOVI,Other,1,1,1,1,1,1,90,99,100,99,94,88,100,100,100,100,100,0,1,1,FALSE
OH,LIMA,Proprietary,1,1,1,1,0,1,81,91,99,83,28,15,100,98,99,96,95,0,1,1,TRUE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,75,94,96,99,84,91,91,100,97,94,100,0,1,1,FALSE
TX,LUFKIN,Other,1,1,1,1,1,1,99,86,95,99,79,82,93,95,98,96,100,0,0,0,FALSE
WI,ASHLAND,Proprietary,1,1,1,0,0,1,83,69,99,100,59,62,63,99,89,81,100,0,0,1,FALSE
MO,JOPLIN,Religious Affiliations,1,1,1,1,1,1,95,96,100,99,69,80,84,99,92,89,99,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,93,98,100,100,86,61,96,100,100,95,100,1,1,1,FALSE
VA,NEWPORT NEWS,Proprietary,1,1,1,1,1,1,95,91,100,96,76,66,98,100,100,99,99,0,0,1,FALSE
TX,EL PASO,Proprietary,1,1,1,1,0,1,92,96,100,100,74,78,100,99,100,95,99,1,1,1,FALSE
TX,JASPER,Proprietary,1,1,1,1,1,1,99,99,100,99,56,72,88,100,96,97,100,0,1,1,FALSE
NC,STATESVILLE,Other,1,1,1,1,1,1,92,93,99,99,54,60,99,99,100,99,98,0,0,0,FALSE
IL,WESTMONT,Proprietary,1,1,1,1,1,1,91,92,100,100,67,78,86,100,100,99,98,0,1,1,FALSE
MS,CALHOUN CITY,Proprietary,1,1,1,1,1,1,96,91,100,100,81,85,80,99,78,77,100,0,0,0,TRUE
TX,STAFFORD,Proprietary,1,1,1,1,1,1,99,89,99,99,63,41,89,100,99,86,95,0,1,1,FALSE
FL,FRUITLAND PARK,Private,1,1,1,1,1,1,96,100,100,100,48,46,100,100,100,100,100,0,0,1,FALSE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,92,99,100,96,100,97,100,99,100,100,100,0,1,1,FALSE
MI,ALLEN PARK,Other,1,1,1,1,1,1,84,97,99,99,78,77,91,98,95,92,100,0,0,0,FALSE
CA,DOWNEY,Proprietary,1,1,1,1,1,1,85,98,100,97,100,90,94,100,100,100,98,1,2,1,FALSE
CA,COLTON,Proprietary,1,1,1,1,1,1,84,96,100,96,87,92,94,100,100,95,100,2,7,1,TRUE
TX,FORT WORTH,Proprietary,1,1,1,1,1,1,97,100,100,99,82,84,100,100,100,100,98,0,1,1,FALSE
TX,LANCASTER,Proprietary,1,1,1,1,1,1,85,100,100,100,100,100,94,100,100,95,93,2,1,1,FALSE
MO,BRIDGETON,Proprietary,1,1,1,1,1,1,99,42,98,97,98,1,40,99,97,23,78,0,1,1,FALSE
OK,IDABEL,Proprietary,1,1,1,1,1,1,97,86,100,100,73,65,80,100,89,82,100,0,1,1,FALSE
VA,NORFOLK,Proprietary,1,1,1,1,1,1,96,100,100,99,99,99,100,100,100,100,100,0,0,0,FALSE
MI,FLUSHING,Proprietary,1,1,1,1,1,1,73,68,98,100,55,57,72,100,99,82,98,0,1,1,FALSE
KS,ST FRANCIS,Religious Affiliations,1,1,1,1,0,1,87,70,96,66,74,80,82,88,95,87,70,0,1,1,TRUE
CO,YUMA,Local,1,1,1,1,0,1,92,86,100,97,57,79,84,97,99,97,99,0,0,0,TRUE
MI,TAYLOR,Proprietary,1,1,1,1,1,1,44,85,100,95,30,30,94,100,100,95,90,2,1,1,TRUE
TX,SAN ANTONIO,Proprietary,1,1,1,1,1,1,100,100,100,100,96,97,100,100,100,95,100,1,4,1,FALSE
VA,CHESAPEAKE,Proprietary,1,1,1,1,1,1,89,93,99,96,54,81,87,97,99,98,98,0,1,1,FALSE
MO,SAINT LOUIS,Private,1,1,1,1,1,1,94,98,100,100,88,91,99,100,100,99,100,0,0,0,FALSE
FL,DE BARY,Proprietary,1,1,1,1,1,1,94,93,98,93,41,42,99,94,99,98,98,0,0,1,FALSE
MA,NORTHAMPTON,Private,1,1,1,1,1,1,95,98,99,100,84,87,98,100,100,98,100,0,0,0,FALSE
IL,CLARENDON HILLS,Proprietary,1,1,1,1,1,1,100,100,100,100,38,29,100,100,100,99,100,0,1,1,FALSE
TX,FREDERICKSBURG,Proprietary,1,1,1,1,1,1,90,100,100,99,39,55,99,100,100,100,100,0,0,1,FALSE
TX,LEAGUE CITY,Proprietary,1,1,1,1,1,1,88,89,100,98,66,70,49,100,53,40,98,0,1,1,FALSE
FL,MIAMI,Proprietary,1,1,1,1,1,1,97,99,100,97,60,83,100,98,100,100,96,0,1,1,FALSE
TX,ADDISON,Proprietary,1,1,1,1,1,1,86,96,94,97,68,69,92,94,98,97,97,0,0,1,FALSE
AZ,PHOENIX,Proprietary,1,1,1,1,1,1,99,99,100,100,77,82,100,100,100,100,100,0,0,0,FALSE
NM,LAS CRUCES,Proprietary,1,1,1,1,1,1,82,82,99,100,43,60,90,99,98,83,97,0,0,1,TRUE
FL,WEST PALM BEACH,Proprietary,1,1,1,1,1,1,94,80,100,100,66,74,100,91,99,99,100,0,1,1,FALSE
CA,CARSON,Proprietary,1,1,1,1,1,1,93,99,100,100,69,46,100,97,100,100,98,0,1,1,FALSE
TX,ARLINGTON,Proprietary,1,1,1,1,1,1,97,90,100,100,78,78,94,100,99,96,99,0,1,1,FALSE
MI,GRAND RAPIDS,Proprietary,1,1,1,1,1,1,96,97,100,88,97,95,100,99,100,100,100,0,1,1,FALSE
FL,WEST PALM BEACH,Proprietary,1,1,1,1,1,1,96,82,100,100,86,78,84,100,93,85,100,0,0,1,FALSE
PR,SAN JUAN,Private,1,1,1,1,1,1,92,87,96,94,23,21,88,99,93,93,99,0,0,1,FALSE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,93,96,100,99,73,77,96,99,98,99,100,0,0,0,TRUE
VA,SPRINGFIELD,Proprietary,1,1,1,1,1,1,98,92,100,100,82,86,97,99,100,100,98,0,2,1,FALSE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,95,98,100,100,93,81,82,100,99,56,98,0,1,1,FALSE
LA,LAFAYETTE,Proprietary,1,1,1,1,1,1,92,64,100,97,77,72,85,98,92,85,100,0,0,0,FALSE
CA,SACRAMENTO,Proprietary,1,1,1,1,1,1,94,95,100,99,77,76,97,97,99,98,100,0,0,0,FALSE
NM,SANTA TERESA,Proprietary,1,1,1,1,1,1,92,90,100,100,9,1,96,89,100,96,97,0,1,1,FALSE
UT,SALT LAKE CITY,Proprietary,1,1,1,1,1,1,94,99,100,99,57,52,94,99,100,98,98,1,1,1,FALSE
IN,INDIANAPOLIS,Proprietary,1,1,1,1,1,1,95,88,99,98,77,78,94,100,98,94,100,0,1,1,FALSE
MI,LATHRUP VILLAGE,Proprietary,1,1,1,1,1,1,98,100,100,100,98,97,100,100,100,100,100,0,1,1,FALSE
VA,CHESAPEAKE,Other,1,1,1,1,1,1,87,98,89,98,86,84,99,99,100,100,100,0,0,0,FALSE
IL,GREENVILLE,Local,1,1,1,1,1,1,96,85,100,100,49,56,87,99,98,91,98,0,0,1,FALSE
TX,MIDLAND,Proprietary,1,1,1,1,1,1,89,95,100,100,79,83,99,100,99,99,100,0,1,1,TRUE
UT,ST GEORGE,Private,1,1,1,1,1,1,92,80,97,99,67,68,78,98,96,97,99,0,0,0,FALSE
MI,WARREN,Proprietary,1,1,1,1,1,1,76,97,97,100,78,77,89,99,100,93,99,0,1,1,FALSE
NC,SMITHFIELD,Local,1,1,1,1,1,1,92,96,100,98,75,86,100,99,100,99,97,0,0,0,TRUE
TN,UNION CITY,Proprietary,1,1,1,1,1,1,76,62,100,95,90,70,90,100,95,93,98,0,1,1,FALSE
UT,MURRAY,Private,1,1,1,1,1,1,86,68,99,99,84,86,73,99,97,99,97,0,1,1,FALSE
LA,BASILE,Private,1,1,1,1,1,1,95,97,100,100,72,69,93,99,99,98,96,0,0,0,FALSE
TX,BROWNSVILLE,Proprietary,1,1,1,1,1,1,89,96,99,99,87,26,100,98,100,100,93,0,1,1,FALSE
TX,DALLAS,Proprietary,1,1,1,1,1,1,90,100,100,100,53,44,94,100,100,95,100,2,1,1,FALSE
CA,CANOGA PARK,Proprietary,1,1,1,1,1,1,100,100,100,100,88,93,94,67,100,100,71,1,3,1,FALSE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,96,100,100,100,67,48,100,100,100,100,99,0,0,0,FALSE
FL,MIAMI,Proprietary,1,1,1,0,1,1,99,100,100,100,77,81,100,100,100,100,100,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,90,92,100,90,93,97,98,99,100,95,98,1,1,1,FALSE
AL,CENTREVILLE,Proprietary,1,1,0,0,0,1,97,96,100,100,80,62,100,100,100,100,100,0,1,1,FALSE
IL,DECATUR,Proprietary,1,1,1,1,0,1,82,52,99,93,77,68,72,97,88,88,97,0,0,0,FALSE
GA,WAYCROSS,Proprietary,1,1,0,0,0,1,95,99,100,99,74,77,91,99,100,96,100,0,0,0,FALSE
LA,BOGALUSA,Proprietary,1,1,1,1,1,1,96,97,97,97,66,79,97,99,99,96,100,0,0,0,FALSE
CO,DENVER,Proprietary,1,1,1,1,1,1,81,87,100,94,53,46,63,98,92,80,99,0,1,1,FALSE
FL,MIAMI,Proprietary,1,1,1,1,1,1,96,100,100,100,86,65,99,100,100,94,100,0,1,1,FALSE
LA,THIBODAUX,State/County,1,1,1,1,1,1,97,97,100,100,72,73,91,99,100,94,98,0,0,0,FALSE
CA,OAKLAND,Proprietary,1,1,1,1,1,1,97,100,100,100,87,88,100,100,100,100,100,0,0,0,FALSE
TX,STAFFORD,Proprietary,1,1,1,1,1,1,94,91,99,100,70,22,78,100,100,99,100,0,1,1,FALSE
TX,DICKINSON,Proprietary,1,1,1,1,0,1,75,98,100,100,64,35,94,98,100,95,100,2,4,1,TRUE
TX,THE COLONY,Proprietary,1,1,1,1,1,1,88,83,99,98,77,70,94,100,99,99,99,0,1,1,FALSE
MI,WHITE CLOUD,Proprietary,1,1,1,0,1,1,99,100,100,100,80,57,100,100,100,100,100,0,1,1,FALSE
LA,MINDEN,Proprietary,1,1,1,1,1,1,94,41,99,96,64,61,85,98,87,79,98,0,0,0,FALSE
PA,LANCASTER,Private,1,1,1,1,1,1,93,93,98,99,75,77,97,99,100,98,99,0,0,0,FALSE
CA,REDDING,Proprietary,1,1,1,1,1,1,91,94,99,78,85,77,88,98,97,95,98,0,0,0,FALSE
NC,GREENSBORO,Proprietary,1,1,1,1,1,1,84,86,94,96,70,77,79,99,95,90,100,0,0,0,FALSE
LA,DERIDDER,Proprietary,1,1,1,1,1,1,93,55,100,97,77,69,86,99,95,80,100,0,1,1,TRUE
TN,NASHVILLE,Proprietary,1,1,1,1,1,1,85,59,100,95,73,75,87,99,91,86,99,0,0,0,FALSE
NC,CLINTON,State/County,1,1,1,1,1,1,79,89,96,99,78,77,88,96,99,97,100,0,0,0,FALSE
TN,LEBANON,Proprietary,1,1,1,1,1,1,90,99,100,100,41,37,96,100,99,100,100,0,0,0,TRUE
MA,WOBURN,Other,1,1,1,1,1,1,98,97,100,100,80,87,100,100,100,99,100,0,0,0,FALSE
OK,OKLAHOMA CITY,Proprietary,1,1,1,1,1,1,88,92,100,100,79,82,100,100,100,100,100,0,0,1,TRUE
KY,SOUTH WILLIAMSON,State/County,1,1,0,0,0,1,92,99,99,93,79,83,94,98,100,99,99,0,0,0,TRUE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,99,100,100,100,63,30,100,100,100,95,100,1,1,1,FALSE
GA,VALDOSTA,Proprietary,1,1,1,1,1,1,97,96,100,100,61,67,97,100,100,98,100,0,0,0,FALSE
PA,WILKES BARRE,Proprietary,1,1,1,1,1,1,95,92,99,100,87,86,92,99,98,96,100,0,0,0,FALSE
OK,TULSA,Proprietary,1,1,1,1,1,1,96,96,100,99,98,97,100,100,100,100,100,0,0,0,FALSE
TX,MESQUITE,Proprietary,1,0,0,0,0,1,73,97,98,100,98,98,97,100,100,98,98,0,1,1,FALSE
FL,CHIPLEY,Proprietary,1,1,1,1,0,1,96,86,99,99,73,70,100,100,100,100,99,0,0,1,FALSE
RI,CRANSTON,Proprietary,1,1,1,1,1,1,82,54,94,87,85,84,68,90,90,85,89,0,1,1,FALSE
OR,BURNS,State/County,1,1,0,1,1,1,76,72,100,81,67,73,98,99,99,99,100,0,1,1,FALSE
MD,FREDERICK,Proprietary,1,1,1,1,1,1,85,51,99,91,64,45,76,97,86,83,98,0,0,0,FALSE
SC,MANNING,Other,1,1,1,1,0,1,90,88,98,98,84,88,79,100,83,93,98,0,0,1,TRUE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,91,94,99,99,62,71,98,99,92,96,98,0,1,1,FALSE
IA,JEFFERSON,State/County,1,1,1,1,0,1,99,100,98,99,93,93,100,100,100,100,100,0,0,1,TRUE
CA,CAMPBELL,Proprietary,1,1,1,0,1,1,93,97,100,94,98,96,100,100,98,95,100,0,1,1,TRUE
TX,MCALLEN,Proprietary,1,1,1,1,1,1,90,98,100,100,46,60,100,99,100,100,77,0,1,1,FALSE
TX,MARSHALL,Proprietary,1,1,1,0,1,1,89,50,100,95,61,60,84,97,95,78,99,0,0,0,TRUE
MI,SOUTHFIELD,Proprietary,1,1,1,1,1,1,69,96,100,100,71,59,96,99,100,95,100,0,1,1,TRUE
OK,MCALESTER,Proprietary,1,1,1,1,0,1,87,92,100,97,64,56,99,100,100,98,97,0,0,0,FALSE
MI,GRAND BLANC,Religious Affiliations,1,1,1,1,1,1,88,97,99,99,68,61,96,98,99,99,100,0,0,0,FALSE
MA,WORCESTER,Private,1,1,1,1,1,1,93,93,96,99,80,78,95,99,99,95,99,0,0,0,FALSE
TX,BIG SPRING,Proprietary,1,1,1,1,1,1,93,80,99,96,82,70,96,100,98,96,100,0,1,1,TRUE
MA,SPRINGFIELD,Private,1,1,1,1,1,1,94,93,99,97,77,64,93,97,99,94,99,0,0,0,FALSE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,86,99,99,99,44,42,100,99,100,100,98,0,1,1,FALSE
UT,HUNTSVILLE,Proprietary,1,1,1,1,1,1,100,100,100,96,87,95,100,93,100,100,100,0,1,1,FALSE
NH,CONCORD,Private,1,1,1,1,1,1,97,96,98,98,74,63,96,97,99,98,100,0,0,0,FALSE
AL,ANDALUSIA,Proprietary,1,1,1,1,0,1,93,95,100,100,86,87,92,100,100,95,99,0,0,0,TRUE
FL,SOUTH MIAMI,Proprietary,1,1,1,1,1,1,99,99,99,99,45,45,98,97,100,97,99,0,0,1,FALSE
VA,GLEN ALLEN,Proprietary,1,1,1,1,1,1,83,75,100,99,69,83,70,99,92,84,94,0,1,1,FALSE
TN,MILAN,Proprietary,1,1,1,1,1,1,97,95,100,100,83,86,98,100,100,99,100,0,0,0,FALSE
FL,HALLANDALE,Proprietary,1,1,1,1,1,1,98,96,100,99,43,41,96,100,98,100,99,0,1,1,TRUE
MD,WESTMINSTER,Religious Affiliations,1,1,1,1,1,1,96,97,100,99,73,75,97,99,99,99,100,0,0,0,TRUE
TN,CLARKSVILLE,Proprietary,1,1,1,1,1,1,89,78,99,83,40,45,98,98,100,99,99,0,0,0,FALSE
MI,OAK PARK,Proprietary,1,1,1,1,1,1,59,94,100,100,32,26,98,100,100,98,100,0,1,1,FALSE
MD,FORT WASHINGTON,Proprietary,1,1,1,0,1,1,98,97,99,100,62,80,100,100,100,100,97,0,0,1,FALSE
NE,FALLS CITY,Proprietary,1,1,1,1,0,1,93,94,99,99,86,88,100,99,100,100,98,0,0,0,TRUE
TX,DENTON,Proprietary,1,1,1,1,1,1,90,98,100,100,95,66,95,100,100,95,98,1,5,1,TRUE
CA,BURBANK,Proprietary,1,1,1,1,1,1,86,98,100,95,32,41,91,99,99,98,97,0,1,1,FALSE
MI,WYOMING,Proprietary,1,1,1,1,1,1,84,92,99,100,94,93,97,100,100,94,98,0,1,1,FALSE
TX,MIDLAND,Proprietary,1,1,1,1,1,1,90,97,99,97,75,90,98,99,100,99,97,0,1,1,TRUE
MA,NEW BEDFORD,Private,1,1,1,1,1,1,95,95,96,91,74,74,96,99,99,96,99,0,0,0,FALSE
FL,JACKSONVILLE,Proprietary,1,1,1,1,1,1,91,96,100,100,89,90,97,100,99,100,100,0,0,0,FALSE
NY,COMMACK,Religious Affiliations,1,1,1,1,1,1,87,83,99,97,44,53,83,97,98,96,96,0,1,1,FALSE
TX,MESQUITE,Proprietary,1,1,1,1,1,1,83,97,100,95,75,71,98,100,100,100,93,0,1,1,FALSE
IA,ESTHERVILLE,Religious Affiliations,1,1,1,1,0,1,90,85,100,99,77,87,95,100,87,95,100,0,1,1,TRUE
CA,PASADENA,Proprietary,1,1,1,1,1,1,88,91,100,99,51,56,98,96,99,98,95,0,0,0,FALSE
FL,FORT LAUDERDALE,Proprietary,1,1,1,1,1,1,81,93,100,99,44,24,94,98,97,95,98,1,1,1,FALSE
TX,AMARILLO,Proprietary,1,1,1,1,1,1,99,98,100,100,84,89,84,100,100,95,100,1,1,1,TRUE
GA,PEARSON,Proprietary,1,1,0,1,0,1,94,90,84,98,68,69,73,99,100,94,99,0,1,1,FALSE
TX,DALLAS,Proprietary,1,1,1,1,1,1,89,90,100,100,80,80,95,98,99,97,99,0,0,1,FALSE
CA,LOS ANGELES,Proprietary,1,1,1,1,1,1,94,84,100,99,93,94,97,99,100,100,100,0,0,0,FALSE
